city,cloud,country,date,humidity,lat,lng,max_temp,wind_spd
geraldton,90,CA,1547402400,79,49.72,-86.95,24.8,14.99
sabang,92,PH,1547406185,88,13.72,123.58,76.96,11.1
mahajanga,40,MG,1547402400,88,-15.72,46.32,73.4,13.87
saldanha,0,PT,1547406477,94,41.42,-6.55,35.56,2.71
faanui,68,PF,1547406108,100,-16.48,-151.75,81.32,14.34
oranjestad,40,AW,1547402400,62,12.52,-70.03,84.2,17.22
aberdeen,90,US,1547401980,96,45.47,-98.49,19.94,17.22
anadyr,40,RU,1547402400,74,64.73,177.51,-22.01,6.71
graham,90,US,1547405640,89,36.07,-79.4,36.86,8.05
nambucca heads,92,AU,1547404200,88,-30.64,152.99,66.2,0.92
hobart,0,AU,1547404200,82,-42.88,147.33,57.2,6.93
rio gallegos,75,AR,1547402400,33,-51.62,-69.22,62.6,27.51
chokurdakh,24,RU,1547406381,35,70.62,147.9,-23.4,2.59
buraydah,75,SA,1547402400,56,26.33,43.97,68.0,6.93
kruisfontein,44,ZA,1547406738,84,-34.0,24.73,68.0,14.45
san antonio,0,CL,1547402400,68,-33.58,-71.61,69.8,10.29
dukat,64,RS,1547406740,92,42.44,22.31,19.49,1.92
sharjah,0,AE,1547402400,49,25.36,55.39,71.6,8.05
verin,0,ES,1547406727,92,41.94,-7.44,32.9,1.59
nizhniy baskunchak,76,RU,1547406740,89,48.22,46.83,25.88,6.96
bambous virieux,40,MU,1547402400,74,-20.34,57.76,80.6,11.41
harer,1,US,1547404500,84,42.19,-111.17,1.4,3.71
bredasdorp,56,ZA,1547406741,91,-34.53,20.04,66.92,18.92
southbridge,1,US,1547405760,45,42.08,-72.03,26.96,5.82
kodiak,90,US,1547404500,100,39.95,-94.76,32.0,8.05
mosquera,75,CO,1547402400,39,4.71,-74.23,66.2,4.7
vostok,0,RU,1547406741,64,46.45,135.83,-9.13,2.48
mao,75,DO,1547406000,69,19.55,-71.08,82.4,11.41
ilulissat,75,GL,1547401800,64,69.22,-51.1,-2.21,4.7
yellowknife,20,CA,1547402400,66,62.45,-114.38,-29.21,4.7
bartica,40,GY,1547402400,55,6.41,-58.62,86.0,11.41
vizinga,80,RU,1547406742,77,61.08,50.08,18.41,8.97
mapiripan,36,CO,1547406742,71,2.89,-72.13,84.11,6.4
paracuru,20,BR,1547402400,74,-3.41,-39.03,84.2,10.29
acajutla,20,SV,1547405400,37,13.59,-89.83,86.0,11.41
samana,75,EC,1547402400,78,0.12,-76.97,80.6,3.36
yerofey pavlovich,56,RU,1547406743,70,53.97,121.97,-11.56,2.48
teguise,0,ES,1547404200,55,29.06,-13.56,66.2,8.05
naze,40,NG,1547402400,74,5.43,7.07,86.0,11.41
merauke,88,ID,1547406743,100,-8.49,140.4,76.73,6.4
hede,92,SE,1547405400,92,60.45,15.49,24.8,10.29
chuy,92,UY,1547406145,100,-33.69,-53.46,71.87,15.01
ostrovnoy,48,RU,1547406386,92,68.05,39.51,17.65,8.63
severo-kurilsk,64,RU,1547406484,100,50.68,156.12,24.31,2.59
luderitz,0,NA,1547406490,80,-26.65,15.16,66.2,14.67
vanimo,64,PG,1547406373,100,-2.67,141.3,82.63,18.25
berlevag,90,NO,1547405400,92,70.86,29.09,26.6,2.24
san quintin,0,PH,1547406419,81,17.54,120.52,63.32,3.6
xixiang,40,CN,1547404200,82,22.58,113.87,66.2,10.29
shalakusha,68,RU,1547406744,82,62.23,40.26,21.88,7.4
camacha,40,PT,1547402400,72,33.08,-16.33,64.4,17.22
kushiro,0,JP,1547406330,62,43.11,144.15,0.59,3.04
port pirie,0,AU,1547402400,82,-33.18,138.01,66.2,5.82
pangnirtung,75,CA,1547402400,74,66.15,-65.72,-22.01,2.24
kuusamo,0,FI,1547405400,76,65.96,29.19,-4.01,1.12
boende,12,CD,1547406745,91,-0.28,20.88,74.75,2.15
rimavska sobota,80,SK,1547406745,89,48.38,20.02,31.15,6.06
sombrio,44,BR,1547406745,92,-29.11,-49.63,78.8,6.4
krasnyy chikoy,32,RU,1547406755,55,50.36,108.75,-7.11,6.62
juneau,90,US,1547404440,93,58.3,-134.42,35.6,6.93
tokur,64,RU,1547406755,37,53.13,132.9,-12.55,2.26
auki,0,NG,1547406756,21,12.18,6.51,78.35,7.52
arraial do cabo,0,BR,1547402400,46,-22.97,-42.02,89.6,17.22
hanmer springs,100,NZ,1547406756,96,-42.52,172.83,45.77,5.73
zyryanovsk,0,KZ,1547406756,54,49.74,84.27,-1.57,1.92
agirish,0,RU,1547406756,87,61.92,63.02,20.84,7.74
swellendam,0,ZA,1547406756,33,-34.02,20.44,76.46,10.76
yaan,8,NG,1547406757,52,7.38,8.57,85.1,2.93
tilichiki,0,RU,1547406364,42,60.47,166.1,-27.18,2.93
orapa,44,BW,1547406757,54,-21.28,25.37,80.56,1.7
champerico,40,MX,1547401440,51,16.38,-93.6,82.4,8.05
morondava,92,MG,1547406757,100,-20.3,44.28,77.95,4.94
karratha,8,AU,1547406242,25,-20.74,116.85,90.1,5.95
fortuna,0,ES,1547404200,66,38.18,-1.13,50.0,3.36
nalut,0,LY,1547406758,68,31.86,10.98,41.9,7.4
mogadishu,56,SO,1547406683,97,2.04,45.34,79.75,23.06
alta floresta,32,BR,1547406758,64,-9.87,-56.08,85.82,1.81
kloulklubed,75,PW,1547401800,88,7.04,134.26,77.0,3.36
hasaki,20,JP,1547404200,74,35.73,140.83,33.8,6.93
palana,24,RU,1547406758,76,59.08,159.95,-3.96,2.82
novoagansk,80,RU,1547406759,83,61.94,76.66,16.03,11.43
the valley,40,AI,1547402400,61,18.22,-63.06,82.4,13.87
zhigansk,48,RU,1547406759,29,66.77,123.37,-19.71,5.17
huntingdon,1,GB,1547405760,67,52.33,-0.18,50.0,19.46
poysdorf,92,AT,1547405400,86,48.67,16.63,41.0,26.4
kokopo,68,PG,1547406759,100,-4.34,152.27,78.08,1.92
meulaboh,48,ID,1547406412,100,4.14,96.13,77.18,3.71
pisco,40,PE,1547402400,30,-13.71,-76.2,71.6,13.87
ahipara,0,NZ,1547406759,98,-35.17,173.16,61.97,11.21
victoria,75,BN,1547404200,88,5.28,115.24,82.4,3.36
xuddur,0,SO,1547406760,38,4.12,43.89,74.03,8.19
paamiut,0,GL,1547406760,91,61.99,-49.67,32.54,14.23
yerbogachen,12,RU,1547406456,34,61.28,108.01,-23.26,7.74
burley,20,US,1547405580,83,42.54,-113.79,24.08,4.7
broome,20,GB,1547405760,70,52.47,1.45,48.2,18.34
ulladulla,92,AU,1547406761,99,-35.36,150.48,70.97,2.82
keningau,75,MY,1547404200,88,5.33,116.16,77.0,5.82
middelharnis,75,NL,1547405940,93,51.76,4.17,50.0,16.11
tiangua,80,BR,1547406761,85,-3.73,-40.99,80.96,4.5
riverton,90,US,1547405580,86,43.02,-108.38,33.8,4.7
msanga,20,TZ,1547402400,69,-6.04,36.03,77.0,5.82
ponta do sol,12,BR,1547406401,76,-20.63,-46.0,83.8,4.5
horsham,0,AU,1547406762,86,-36.71,142.2,59.45,3.15
lubango,0,AO,1547406762,29,-14.92,13.49,76.01,3.27
cooma,90,AU,1547402400,88,-36.24,149.13,62.6,12.75
buriti bravo,48,BR,1547406762,82,-5.84,-43.84,81.46,2.15
narasannapeta,0,IN,1547406762,98,18.42,84.04,58.91,1.59
sechura,0,PE,1547406763,65,-5.56,-80.82,81.77,9.98
namibe,0,AO,1547406083,100,-15.19,12.15,74.08,14.0
port augusta,0,AU,1547402400,82,-32.49,137.76,66.2,5.82
weligama,36,LK,1547406773,97,5.97,80.42,78.17,12.1
maba,88,CN,1547406776,100,24.68,113.59,49.6,2.48
corrente,20,BR,1547406776,36,-17.45,-44.68,91.81,6.85
buckeye,20,US,1547405700,71,33.37,-112.58,57.02,4.7
policoro,90,IT,1547402100,81,40.21,16.68,46.4,4.7
cabo san lucas,5,MX,1547401260,47,22.89,-109.91,77.0,3.36
yamasaki,0,JP,1547406777,62,34.97,134.76,25.88,5.06
ulaangom,0,MN,1547406479,23,49.98,92.07,-19.08,1.92
fortaleza,20,BR,1547402400,74,-3.73,-38.52,84.2,10.29
khao wong,0,TH,1547406778,64,16.69,104.09,71.15,6.85
guerrero negro,64,MX,1547406447,83,27.97,-114.04,61.43,4.61
kinablangan,92,PH,1547406778,100,7.69,126.55,79.66,9.75
krasnokamensk,44,RU,1547406778,64,50.1,118.04,-9.63,6.62
la cruz,0,MX,1547406779,39,23.92,-106.89,81.14,2.93
salalah,40,OM,1547401800,64,17.01,54.1,75.2,3.36
saryg-sep,0,RU,1547406779,37,51.49,95.55,-26.46,3.83
soyo,75,AO,1547406000,88,-6.13,12.37,80.6,3.36
yar-sale,56,RU,1547406528,83,66.83,70.83,7.52,16.24
zarubino,0,RU,1547406779,100,42.65,131.06,16.61,2.15
piet retief,12,ZA,1547406780,96,-27.01,30.81,64.76,2.82
maun,20,BW,1547402400,55,-19.99,23.42,86.0,3.36
marawi,76,PH,1547406780,99,8.0,124.29,69.53,2.26
san anselmo,1,US,1547405700,93,37.97,-122.56,59.0,9.17
mount gambier,75,AU,1547404200,100,-37.83,140.78,51.8,2.37
arcachon,90,FR,1547404200,93,44.65,-1.18,51.8,10.29
mhlume,48,SZ,1547406000,78,-26.03,31.81,73.4,5.82
eyrarbakki,75,IS,1547402400,79,63.86,-21.15,26.6,3.36
kisangani,36,CD,1547406781,89,0.52,25.21,78.31,2.15
awbari,0,LY,1547406781,61,26.59,12.77,38.39,4.27
portland,1,US,1547405580,58,45.52,-122.67,48.02,9.17
madang,88,PG,1547406781,100,-5.21,145.81,73.31,5.17
hun,92,BE,1547405400,93,50.34,4.87,48.2,18.34
ambulu,76,ID,1547406782,100,-8.35,113.61,77.09,1.48
port macquarie,92,AU,1547402400,93,-31.43,152.91,64.4,1.12
mtambile,0,TZ,1547406782,94,-5.38,39.7,82.45,15.46
kontagora,8,NG,1547406782,42,10.4,5.47,84.38,2.71
adrar,0,DZ,1547402400,26,27.87,-0.29,57.2,10.29
lagoa,0,PT,1547404200,58,37.14,-8.45,55.4,2.24
roanoke,90,US,1547405700,88,37.27,-79.94,32.0,6.93
dingle,24,PH,1547406372,78,11.0,122.67,76.28,14.23
turinsk,0,RU,1547406783,86,58.04,63.7,24.4,8.97
hambantota,0,LK,1547403000,100,6.12,81.12,77.0,8.05
bud,75,NO,1547405400,63,62.91,6.91,32.0,14.99
pula,75,EC,1547402400,70,-1.95,-79.93,86.0,6.93
coquimbo,0,CL,1547402400,60,-29.95,-71.34,69.8,16.11
methoni,40,GR,1547405400,81,36.82,21.7,44.6,22.28
kamaishi,0,JP,1547406784,96,39.28,141.86,20.03,3.83
valdivia,0,CL,1547402400,56,-39.81,-73.25,73.4,4.7
swan hill,0,AU,1547406784,80,-35.34,143.56,63.23,3.49
praia da vitoria,75,PT,1547402400,82,38.73,-27.07,60.8,19.82
fare,88,PF,1547406795,100,-16.7,-151.02,81.91,13.78
kieta,36,PG,1547406500,100,-6.22,155.63,76.96,3.6
pringsewu,64,ID,1547406795,96,-5.36,104.98,73.85,1.92
faya,0,SA,1547406000,51,18.39,42.45,59.0,6.93
zeya,64,RU,1547406491,68,53.74,127.27,-6.03,2.04
soskovo,88,RU,1547406795,88,52.75,35.39,23.54,13.22
qaqortoq,75,GL,1547405400,79,60.72,-46.03,26.6,4.7
muros,20,ES,1547404200,87,42.77,-9.06,46.4,10.29
salo,92,FI,1547405400,92,60.38,23.13,32.0,6.93
necochea,92,AR,1547406474,100,-38.55,-58.74,68.27,11.54
mehamn,20,NO,1547405400,86,71.03,27.85,26.6,3.36
candelaria,40,CO,1547406000,51,3.41,-76.35,84.2,5.82
boa esperanca,88,BR,1547406797,90,-1.91,-60.0,78.31,3.27
port hardy,75,CA,1547402400,93,50.7,-127.42,44.6,5.5
nouadhibou,0,MR,1547402400,23,20.93,-17.03,77.0,4.7
nuuk,20,GL,1547401800,78,64.17,-51.74,17.6,9.17
shache,0,CN,1547406471,62,38.42,77.24,11.71,4.38
karlskoga,92,SE,1547405400,84,59.33,14.52,32.0,10.29
sitka,64,US,1547406378,91,37.17,-99.65,31.33,4.94
batagay,12,RU,1547406324,0,67.65,134.64,-55.98,2.93
tuy hoa,88,VN,1547406481,100,13.08,109.3,71.6,7.96
aswan,80,EG,1547406798,52,24.09,32.9,55.45,8.08
novo aripuana,92,BR,1547406730,100,-5.12,-60.38,72.5,2.93
belyy yar,8,RU,1547404200,75,53.6,91.39,-18.41,2.24
los llanos de aridane,0,ES,1547404200,92,28.66,-17.92,71.6,9.17
wloszczowa,92,PL,1547406798,94,50.85,19.97,33.98,18.25
alofi,0,NU,1547402400,100,-19.06,-169.92,73.4,1.12
port-cartier,20,CA,1547402400,51,50.03,-66.88,12.2,10.29
gizo,40,IL,1547405400,66,31.8,34.94,60.8,19.46
husavik,56,CA,1547406442,87,50.56,-96.99,17.38,7.74
arsk,90,RU,1547404200,85,56.09,49.88,14.0,6.71
komsomolskiy,80,RU,1547406799,82,67.55,63.78,2.8,12.66
nanpiao,0,CN,1547406799,67,41.1,120.75,7.93,2.82
tyukalinsk,88,RU,1547406799,88,55.87,72.2,20.08,15.79
nome,1,US,1547405700,49,30.04,-94.42,55.94,8.05
san ramon,75,NI,1547406000,77,12.92,-85.84,69.8,9.17
kirakira,64,SB,1547406800,100,-10.46,161.92,80.24,5.95
palaikastron,48,GR,1547406800,100,35.2,26.25,56.39,19.48
batemans bay,100,AU,1547406800,100,-35.71,150.18,66.38,1.14
sao joao da barra,0,BR,1547402400,48,-21.64,-41.05,87.8,11.41
la crosse,90,US,1547405700,63,43.8,-91.24,32.0,5.82
savannah,90,US,1547405760,93,32.08,-81.09,59.0,8.05
pochutla,40,MX,1547405100,62,15.74,-96.47,86.0,4.16
denpasar,75,ID,1547404200,83,-8.65,115.22,82.4,8.05
thiers,90,FR,1547404200,66,45.86,3.55,51.8,10.29
darhan,44,MN,1547406801,67,49.49,105.92,-6.43,3.83
mangrol,0,IN,1547406535,71,25.33,76.51,55.49,7.96
kahului,20,US,1547402160,78,20.89,-156.47,71.06,5.82
dawei,0,MM,1547406802,97,14.07,98.19,72.86,1.14
atar,0,MR,1547402400,10,20.52,-13.05,80.6,12.75
indramayu,76,ID,1547406802,93,-4.05,103.78,68.68,3.6
caravelas,36,BR,1547406471,100,-17.73,-39.27,79.3,9.08
shimoda,0,JP,1547406345,100,34.7,138.93,48.29,17.47
acari,36,BR,1547406812,86,-6.44,-36.64,78.17,5.73
berea,40,US,1547405580,66,41.37,-81.85,33.08,23.04
milledgeville,90,US,1547405700,93,33.08,-83.23,44.6,3.36
mackay,20,CA,1547402400,92,53.65,-115.58,23.0,4.7
palauig,0,PH,1547406813,100,15.44,119.9,70.97,4.94
shingu,0,JP,1547406813,100,33.72,135.99,46.94,9.08
ishigaki,24,JP,1547406813,100,24.34,124.16,68.68,17.69
lorengau,88,PG,1547406509,97,-2.02,147.27,83.98,17.13
galich,80,RU,1547406813,89,58.38,42.35,20.08,13.22
drumnadrochit,40,GB,1547405400,93,57.34,-4.48,42.8,14.99
lamu,8,ID,1547406469,100,0.57,122.3,72.32,3.15
walvis bay,68,NA,1547402400,77,-22.95,14.51,69.8,19.46
nouakchott,36,MR,1547404200,6,18.08,-15.98,84.2,5.82
albina,64,GF,1547406814,82,5.5,-54.06,79.66,2.93
okha,12,RU,1547406814,83,53.59,142.95,3.7,11.32
ancud,0,CL,1547402400,59,-41.87,-73.83,64.4,9.17
beira,75,ES,1547404200,76,43.2,-8.36,51.8,6.93
deputatskiy,48,RU,1547406814,45,69.3,139.9,-29.16,2.82
veracruz,40,VE,1547402400,61,7.66,-72.25,82.4,5.82
vila do maio,40,CV,1547402400,36,15.13,-23.22,80.6,16.11
orhangazi,75,TR,1547405400,100,40.49,29.31,41.0,1.12
hovd,90,NO,1547405400,100,63.83,10.7,30.2,26.4
velyka bahachka,88,UA,1547406815,93,49.79,33.72,25.21,11.21
teya,75,MX,1547405160,51,21.05,-89.07,82.4,11.41
dakar,0,SN,1547404200,44,14.69,-17.45,78.8,9.17
wattegama,36,LK,1547406342,94,7.35,80.68,68.99,3.38
vila franca do campo,20,PT,1547404200,72,37.72,-25.43,60.8,10.29
altay,0,CN,1547406541,32,47.83,88.13,-12.28,1.92
suoyarvi,76,RU,1547406816,87,62.08,32.35,20.39,5.28
llandrindod wells,92,GB,1547406816,95,52.24,-3.38,44.65,20.38
kohlu,0,PK,1547406816,80,29.9,69.25,30.74,2.15
sanming,92,CN,1547406816,98,26.24,117.6,52.16,2.37
margate,0,AU,1547404200,82,-43.03,147.26,57.2,6.93
half moon bay,40,US,1547405760,81,37.46,-122.43,59.0,9.19
bouna,0,CI,1547406817,23,9.27,-3.0,88.43,5.39
atasu,24,KZ,1547406428,71,48.68,71.64,12.25,12.55
pacific grove,1,US,1547406000,66,36.62,-121.92,55.94,3.36
goderich,0,CA,1547406443,82,43.74,-81.71,21.43,9.42
sapa,20,PH,1547402400,78,14.32,120.76,77.0,2.24
lalganj,0,IN,1547404200,87,26.17,80.97,55.4,4.7
najran,0,SA,1547402400,30,17.54,44.22,68.0,4.7
bereda,75,ES,1547404200,76,43.27,-7.54,51.8,6.93
bekhtery,0,UA,1547404200,79,46.25,32.3,26.6,6.71
namatanai,48,PG,1547406818,100,-3.66,152.44,78.53,9.53
athabasca,68,CA,1547406818,84,54.72,-113.29,23.81,3.94
aklavik,75,CA,1547402400,67,68.22,-135.01,-23.81,12.75
tecoanapa,75,MX,1547405100,74,16.99,-99.26,84.2,4.7
peniche,0,PT,1547404200,66,39.36,-9.38,50.0,4.7
burnie,8,AU,1547406818,97,-41.05,145.91,63.95,21.39
