city,cloud,country,date,humidity,lat,lng,max_temp,wind_spd
hovd,90,NO,1547481000,75,63.83,10.7,32.0,14.99
petropavlovsk-kamchatskiy,75,RU,1547481600,85,53.05,158.65,15.8,8.95
pisco,20,PE,1547481600,30,-13.71,-76.2,71.6,10.29
nova vicosa,0,BR,1547483466,62,-17.89,-39.37,87.53,12.35
saint-francois,0,FR,1547481600,75,46.42,3.91,44.6,6.93
leningradskiy,88,RU,1547483467,96,69.38,178.42,-8.05,13.47
alice springs,0,AU,1547481600,21,-23.7,133.88,80.6,7.43
khatanga,56,RU,1547483467,32,71.98,102.47,-21.73,16.6
longkou,0,CN,1547483467,100,37.64,120.47,31.24,15.14
umm kaddadah,12,SD,1547483467,37,13.6,26.69,62.87,8.43
henderson,1,US,1547481480,54,36.04,-114.98,46.94,3.36
narsaq,75,GL,1547481000,63,60.91,-46.05,28.4,1.12
pangnirtung,90,CA,1547481600,63,66.15,-65.72,-7.61,13.87
trelew,0,AR,1547483411,23,-43.25,-65.31,93.61,8.99
touros,36,BR,1547483468,81,-5.2,-35.46,83.39,8.88
biak,76,ID,1547483469,100,-0.91,122.88,75.92,2.84
tiksi,44,RU,1547483469,0,71.64,128.87,-35.82,1.72
kulotino,92,RU,1547483469,87,58.46,33.37,30.34,14.03
asaba,24,NG,1547483469,61,6.19,6.75,87.62,9.1
norman wells,75,CA,1547481600,75,65.28,-126.83,-16.61,4.7
vila velha,75,BR,1547481600,83,-3.71,-38.6,80.6,8.05
klaksvik,92,FO,1547481000,86,62.23,-6.59,30.2,4.7
mareeba,90,AU,1547481600,88,-16.99,145.42,77.0,11.41
kawalu,64,ID,1547483471,98,-7.38,108.21,66.65,2.17
arraial do cabo,20,BR,1547481600,69,-22.97,-42.02,82.4,25.28
qaqortoq,75,GL,1547481000,63,60.72,-46.03,28.4,1.12
cherskiy,12,RU,1547483471,0,68.75,161.3,-32.89,3.18
uvira,68,CD,1547483472,100,-3.41,29.14,66.34,3.4
kichmengskiy gorodok,88,RU,1547483472,82,59.99,45.81,22.06,10.22
port macquarie,0,AU,1547481600,88,-31.43,152.91,69.8,9.17
zatoka,75,PL,1547481600,74,50.04,20.52,28.4,17.22
sozimskiy,76,RU,1547483473,82,59.74,52.25,15.8,6.64
yanam,32,IN,1547481600,68,16.73,82.22,71.6,9.17
waingapu,68,ID,1547483473,100,-9.65,120.26,74.66,5.64
griffith,0,AU,1547481600,30,-34.29,146.06,84.2,5.82
inta,76,RU,1547483483,79,66.04,60.13,16.7,6.98
yar-sale,64,RU,1547483484,92,66.83,70.83,12.11,12.46
antalaha,92,MG,1547483484,100,-14.9,50.28,75.61,7.09
chokurdakh,64,RU,1547483484,36,70.62,147.9,-23.8,3.06
kampene,92,CD,1547483488,96,-3.59,26.67,71.24,2.28
mahibadhoo,92,MV,1547483488,100,3.78,72.97,82.04,14.14
barcelos,0,PT,1547479800,62,41.53,-8.62,55.4,3.36
gizo,75,IL,1547482800,82,31.8,34.94,60.8,8.05
beira,20,ES,1547481600,66,43.2,-8.36,55.4,5.82
okha,32,RU,1547483488,89,53.59,142.95,-6.52,9.55
ust-omchug,20,RU,1547483488,46,61.13,149.63,-30.64,2.51
avera,90,US,1547482500,85,33.19,-82.53,46.4,8.05
constitucion,75,MX,1547480940,49,23.99,-104.67,48.2,3.36
vaitape,92,PF,1547483489,100,-16.52,-151.75,79.16,13.13
palauig,0,PH,1547483489,100,15.44,119.9,71.15,6.98
ewo,76,CG,1547483489,86,-0.88,14.81,76.73,2.39
codrington,0,AU,1547481900,93,-28.95,153.24,68.0,5.82
saldanha,0,PT,1547483490,83,41.42,-6.55,39.74,5.64
saravena,12,CO,1547483490,58,6.96,-71.88,79.84,1.95
castelo branco,0,PT,1547483490,86,39.82,-7.5,44.51,2.62
bourail,0,NC,1547483490,96,-21.57,165.5,67.37,4.18
acari,56,BR,1547483490,61,-6.44,-36.64,83.48,9.22
lubango,75,AO,1547478000,30,-14.92,13.49,80.6,11.41
berlevag,75,NO,1547481000,92,70.86,29.09,24.8,12.75
lata,0,IN,1547483491,66,30.78,78.62,27.64,2.73
belmonte,0,PT,1547483491,76,40.36,-7.35,44.51,3.29
teahupoo,75,PF,1547481600,78,-17.83,-149.27,78.8,11.41
vershino-shakhtaminskiy,0,RU,1547483491,33,51.3,117.89,-10.57,5.86
la union,24,GT,1547483492,57,14.97,-89.29,75.29,3.96
ushirombo,36,TZ,1547483492,95,-3.47,31.9,61.66,2.84
komsomolskiy,88,RU,1547483492,79,67.55,63.78,8.15,12.91
eagle pass,90,MX,1547481480,66,28.71,-100.5,48.2,6.93
soe,88,EE,1547481000,100,57.91,26.05,30.2,11.41
davidson,75,US,1547482260,72,35.5,-80.85,42.08,3.51
chulym,8,RU,1547483493,70,55.09,80.97,13.28,16.82
cururupu,80,BR,1547483493,84,-1.82,-44.87,82.4,7.2
mnogovershinnyy,68,RU,1547483493,62,53.94,139.92,-7.92,2.73
siavonga,32,ZW,1547483494,63,-16.54,28.71,83.66,4.07
taksimo,44,RU,1547483494,33,56.36,114.84,-11.25,3.62
cabo san lucas,90,MX,1547480700,64,22.89,-109.91,73.4,4.74
bytow,0,PL,1547481600,58,54.17,17.49,30.2,19.46
severo-kurilsk,36,RU,1547483494,100,50.68,156.12,27.59,12.68
vila franca do campo,40,PT,1547479800,72,37.72,-25.43,64.4,11.41
steinbach,75,CA,1547481600,85,49.53,-96.69,12.2,5.82
semnan,90,IR,1547481600,81,35.58,53.39,44.6,4.63
kieta,32,PG,1547483496,100,-6.22,155.63,77.54,3.74
ilulissat,40,GL,1547481000,52,69.22,-51.1,-7.61,1.12
plettenberg bay,24,ZA,1547483496,100,-34.05,23.37,67.51,3.96
katobu,32,ID,1547483497,100,-4.94,122.53,79.97,9.55
isangel,68,VU,1547483497,100,-19.55,169.27,78.26,14.03
sharjah,0,AE,1547481600,60,25.36,55.39,75.2,10.29
kibala,8,TD,1547481600,43,9.11,18.35,93.2,9.17
point fortin,20,TT,1547481600,51,10.16,-61.68,86.0,9.17
tavda,0,RU,1547483508,69,58.04,65.27,7.34,6.76
atambua,36,ID,1547483508,100,-9.11,124.89,75.74,1.28
la ronge,90,CA,1547481600,78,55.1,-105.3,10.4,8.05
dunedin,12,NZ,1547483508,89,-45.87,170.5,37.54,2.95
savinka,92,RU,1547483509,92,50.08,47.1,26.92,11.56
lazaro cardenas,5,MX,1547480760,49,28.39,-105.62,42.8,4.41
kysyl-syr,24,RU,1547483509,55,63.9,122.77,-31.99,2.95
sabya,0,YE,1547483509,85,16.19,43.1,66.38,2.17
richards bay,20,ZA,1547483509,79,-28.77,32.06,79.39,7.76
myitkyina,12,MM,1547483509,88,25.38,97.4,53.42,2.17
port-cartier,90,CA,1547481600,71,50.03,-66.88,6.8,8.05
lasa,75,CY,1547481600,82,34.92,32.53,59.0,2.24
zhigansk,20,RU,1547483510,0,66.77,123.37,-31.14,3.62
vestmannaeyjar,90,IS,1547481600,86,63.44,-20.27,39.2,23.04
sedhiou,0,SN,1547481600,13,12.71,-15.56,104.0,2.24
oussouye,0,SN,1547478000,20,12.49,-16.54,100.4,4.7
douentza,32,ML,1547483511,22,15.01,-2.95,76.64,4.41
poronaysk,80,RU,1547483511,95,49.22,143.1,-0.04,2.39
erenhot,0,CN,1547483511,39,43.65,111.97,-13.9,6.76
wadi maliz,40,TN,1547481600,58,36.47,8.55,59.0,11.41
gouyave,40,GD,1547481600,69,12.16,-61.73,82.4,13.87
mount gambier,92,AU,1547481600,93,-37.83,140.78,57.2,2.39
kaitangata,24,NZ,1547483512,78,-46.28,169.85,41.59,2.95
calabasas,90,US,1547481480,80,34.14,-118.64,55.04,8.05
batticaloa,88,LK,1547483512,100,7.71,81.69,76.87,8.88
methoni,75,GR,1547481000,76,36.82,21.7,50.0,7.99
grand gaube,40,MU,1547481600,69,-20.01,57.66,82.4,10.29
broome,75,GB,1547481360,87,52.47,1.45,43.16,5.82
baruun-urt,0,MN,1547483513,24,46.68,113.28,-18.31,7.43
muravlenko,76,RU,1547483513,88,63.79,74.5,21.74,7.87
tateyama,32,JP,1547483513,100,36.66,137.31,11.21,2.17
kodiak,90,US,1547481300,95,39.95,-94.76,28.4,10.29
lorengau,92,PG,1547483514,98,-2.02,147.27,83.71,15.26
maniitsoq,20,GL,1547483514,100,65.42,-52.9,1.94,9.44
udachnyy,0,RU,1547483514,0,66.42,112.4,-56.92,2.51
pundaguitan,32,PH,1547483514,100,6.37,126.17,79.39,10.45
samarai,80,PG,1547483514,100,-10.62,150.67,81.5,12.01
nelson bay,0,AU,1547481600,78,-32.72,152.14,73.4,8.05
gerash,0,IR,1547481600,54,27.67,54.14,59.0,2.06
ellsworth,1,US,1547481360,56,44.54,-68.42,21.92,7.09
ostersund,0,SE,1547481000,73,63.18,14.64,23.0,17.22
camacha,40,PT,1547479800,63,33.08,-16.33,66.2,12.75
musoma,75,TZ,1547478000,54,-1.5,33.81,80.6,16.11
monrovia,40,LR,1547481600,52,6.33,-10.8,91.4,14.99
krasnoarmeysk,90,RU,1547481600,92,56.12,38.15,28.4,11.18
kovylkino,68,RU,1547483516,91,54.04,43.91,19.76,14.58
lazurne,36,UA,1547483516,94,46.77,34.99,34.88,12.01
namie,0,JP,1547483517,100,37.52,140.86,32.27,1.95
vrangel,76,RU,1547483517,100,42.73,133.08,32.99,4.74
hervey bay,40,AU,1547481600,94,-25.3,152.85,69.8,5.82
johi,0,PK,1547483527,92,26.69,67.61,53.06,2.73
carutapera,80,BR,1547483527,93,-1.2,-46.02,81.14,5.75
mbour,0,SN,1547481600,24,14.41,-16.97,91.4,8.05
jaguey grande,40,CU,1547481000,65,22.53,-81.13,77.0,10.29
chimbote,36,PE,1547483528,86,-9.08,-78.59,73.67,6.76
marsaxlokk,75,MT,1547482500,87,35.84,14.54,55.4,29.97
baykit,68,RU,1547483528,55,61.68,96.39,-6.07,3.18
manaure,20,CO,1547481600,45,11.78,-72.45,87.8,4.7
perth,20,GB,1547481000,87,56.4,-3.43,42.8,10.29
angouleme,90,FR,1547481600,76,45.65,0.15,50.0,9.17
tecpan,40,GT,1547481600,88,14.76,-90.99,64.4,16.11
darfo,0,IT,1547482800,25,45.88,10.18,57.2,10.29
arlit,0,NE,1547483529,46,18.74,7.39,61.84,2.95
goderich,48,CA,1547483513,89,43.74,-81.71,26.56,7.65
shumskiy,48,RU,1547483529,67,54.83,99.13,-6.16,2.17
itupiranga,40,BR,1547481600,78,-5.13,-49.33,82.4,4.7
lanivtsi,48,UA,1547483530,85,49.87,26.08,27.41,17.27
san patricio,48,PY,1547483530,62,-26.98,-56.83,91.31,7.09
wao,24,PH,1547483530,85,7.64,124.73,58.06,2.51
cidreira,32,BR,1547483530,99,-30.17,-50.22,82.27,3.62
jieshi,92,CN,1547483531,100,22.82,115.83,59.99,8.43
khani,0,GE,1547481600,56,41.96,42.96,42.8,6.93
mayo,5,CA,1547481600,74,63.59,-135.9,-23.81,2.62
vilhena,75,BR,1547478000,69,-12.74,-60.15,82.4,5.82
laguna,75,MX,1547480640,76,27.52,-110.01,57.2,3.4
